Algoritmo,N,Tempo
InsertionSort,1000,0.001633
QuickSort,1000,0.000200
BuscaSequencial,1000,0.000000e+00
BuscaBinaria,1000,0.000000e+00
InsertionSort,5000,0.028500
QuickSort,5000,0.000933
BuscaSequencial,5000,0.000000e+00
BuscaBinaria,5000,0.000000e+00
InsertionSort,10000,0.124833
QuickSort,10000,0.002567
BuscaSequencial,10000,3.333333e-05
BuscaBinaria,10000,0.000000e+00
InsertionSort,20000,0.448067
QuickSort,20000,0.004533
BuscaSequencial,20000,3.333333e-05
BuscaBinaria,20000,0.000000e+00
InsertionSort,50000,2.821700
QuickSort,50000,0.012233
BuscaSequencial,50000,6.666667e-05
BuscaBinaria,50000,0.000000e+00
